fpr,tpr  # AUC=0.660826
2.000000000000000111e-01,3.765432098765432167e-01
2.029850746268656581e-01,3.765432098765432167e-01
2.059701492537313328e-01,3.765432098765432167e-01
2.059701492537313328e-01,3.796296296296296502e-01
2.089552238805970075e-01,3.796296296296296502e-01
2.119402985074626822e-01,3.796296296296296502e-01
2.119402985074626822e-01,3.827160493827160281e-01
2.119402985074626822e-01,3.858024691358024616e-01
2.119402985074626822e-01,3.888888888888888951e-01
2.119402985074626822e-01,3.919753086419753285e-01
2.119402985074626822e-01,3.950617283950617065e-01
2.119402985074626822e-01,3.981481481481481399e-01
2.119402985074626822e-01,4.012345679012345734e-01
2.149253731343283569e-01,4.012345679012345734e-01
2.149253731343283569e-01,4.043209876543210068e-01
2.149253731343283569e-01,4.074074074074073848e-01
2.179104477611940316e-01,4.074074074074073848e-01
2.179104477611940316e-01,4.104938271604938183e-01
2.179104477611940316e-01,4.135802469135802517e-01
2.208955223880597063e-01,4.135802469135802517e-01
2.238805970149253810e-01,4.135802469135802517e-01
2.268656716417910557e-01,4.135802469135802517e-01
2.268656716417910557e-01,4.166666666666666852e-01
